incident_id,opened_at,customer,environment,service,severity,criticality,recent_alerts_1h,error_rate_15m,cpu_p95_30m,failed_signins_30m,sql_dtu_max_30m,vm_heartbeat_gap_min,deployment_within_2h,keyvault_denials_30m,sla_breached
INC-00073,2026-03-08T04:06:00.550635+00:00,northwind-campus,prod,sql,Sev4,medium,5,0.0927,69.02,0,50.84,0,0,0,0
INC-00074,2026-05-16T18:20:00.550643+00:00,northwind-campus,prod,storage,Sev2,medium,18,0.0411,49.94,11,0.0,0,0,0,0
INC-00075,2026-04-05T23:51:00.550651+00:00,northwind-campus,prod,vm,Sev2,medium,7,0.0423,28.92,4,0.0,40,0,0,1
INC-00076,2026-06-02T05:42:00.550659+00:00,contoso-retail,stage,identity,Sev1,high,15,0.1018,71.8,20,0.0,0,0,13,1
INC-00077,2026-06-01T21:13:00.550667+00:00,contoso-retail,prod,identity,Sev2,high,9,0.0235,59.37,41,0.0,0,0,1,0
INC-00078,2026-05-11T13:18:00.550678+00:00,contoso-retail,dev,sql,Sev2,high,17,0.0649,64.67,9,26.59,0,0,0,1
INC-00079,2026-03-21T16:21:00.550686+00:00,contoso-retail,stage,appservice,Sev2,high,14,0.1095,67.04,12,0.0,0,1,8,1
INC-00080,2026-04-07T21:58:00.550696+00:00,northwind-campus,prod,sql,Sev3,medium,4,0.0608,36.26,2,90.53,0,0,0,0
INC-00081,2026-03-22T06:33:00.550704+00:00,contoso-retail,prod,storage,Sev3,high,18,0.0446,72.98,6,0.0,0,0,0,1
INC-00082,2026-05-29T09:54:00.550711+00:00,contoso-retail,prod,storage,Sev3,high,12,0.1436,47.88,5,0.0,0,0,0,0
INC-00083,2026-05-30T00:48:00.550720+00:00,northwind-campus,prod,vm,Sev1,medium,17,0.0491,51.23,7,0.0,14,0,0,1
INC-00084,2026-04-14T22:32:00.550727+00:00,fabrikam-clinic,prod,identity,Sev4,high,7,0.0288,37.06,28,0.0,0,0,14,1
INC-00085,2026-05-06T11:56:00.550736+00:00,northwind-campus,dev,sql,Sev3,medium,20,0.0054,54.77,5,59.65,0,0,0,0
INC-00086,2026-05-25T10:25:00.550745+00:00,fabrikam-clinic,prod,sql,Sev3,high,10,0.0466,53.2,18,71.54,0,0,0,1
INC-00087,2026-05-03T14:25:00.550753+00:00,contoso-retail,stage,appservice,Sev2,high,7,0.0344,48.41,14,0.0,0,0,1,1
INC-00088,2026-06-01T08:01:00.550761+00:00,northwind-campus,prod,appservice,Sev4,medium,10,0.0526,82.74,15,0.0,0,0,10,0
INC-00089,2026-04-07T02:30:00.550769+00:00,contoso-retail,prod,vm,Sev3,high,18,0.1113,48.04,3,0.0,7,0,0,0
INC-00090,2026-03-16T15:28:00.550776+00:00,northwind-campus,prod,vm,Sev4,medium,6,0.0104,64.26,5,0.0,2,0,0,0
INC-00091,2026-04-26T05:51:00.550784+00:00,contoso-retail,stage,storage,Sev1,high,16,0.0272,76.31,0,0.0,0,0,0,0
INC-00092,2026-05-07T13:20:00.550792+00:00,northwind-campus,prod,vm,Sev2,medium,5,0.0771,58.82,10,0.0,49,0,0,1
INC-00093,2026-05-31T07:21:00.550800+00:00,fabrikam-clinic,prod,identity,Sev3,high,9,0.1115,70.48,74,0.0,0,0,9,1
INC-00094,2026-03-29T02:41:00.550808+00:00,northwind-campus,prod,storage,Sev4,medium,6,0.0423,69.23,16,0.0,0,0,0,0
INC-00095,2026-05-13T15:46:00.550816+00:00,northwind-campus,prod,sql,Sev2,medium,2,0.045,71.92,11,47.17,0,0,0,1
INC-00096,2026-05-25T20:13:00.550825+00:00,northwind-campus,prod,sql,Sev3,medium,1,0.0859,47.01,0,32.86,0,0,0,0
INC-00097,2026-04-05T05:23:00.550833+00:00,fabrikam-clinic,stage,vm,Sev3,high,0,0.0178,37.88,7,0.0,14,0,0,1
INC-00098,2026-04-26T02:31:00.550841+00:00,contoso-retail,prod,sql,Sev3,high,12,0.0192,39.9,9,57.47,0,0,0,0
INC-00099,2026-05-19T18:57:00.550849+00:00,northwind-campus,prod,vm,Sev3,medium,16,0.0185,85.06,13,0.0,43,0,0,1
INC-00100,2026-05-22T19:19:00.550857+00:00,northwind-campus,prod,sql,Sev3,medium,13,0.0106,54.82,13,47.18,0,0,0,0
INC-00101,2026-06-03T03:23:00.550866+00:00,northwind-campus,stage,identity,Sev3,medium,21,0.0376,75.18,26,0.0,0,0,12,1
INC-00102,2026-03-19T11:59:00.550874+00:00,contoso-retail,stage,sql,Sev4,high,21,0.0206,68.94,3,12.23,0,0,0,0
INC-00103,2026-04-13T22:51:00.550882+00:00,northwind-campus,dev,vm,Sev2,medium,6,0.0374,57.92,14,0.0,28,0,0,1
INC-00104,2026-04-18T14:03:00.550890+00:00,fabrikam-clinic,prod,sql,Sev2,high,10,0.0275,77.29,17,35.66,0,0,0,1
INC-00105,2026-05-12T06:51:00.550898+00:00,fabrikam-clinic,dev,storage,Sev2,high,9,0.0247,63.23,10,0.0,0,0,0,1
INC-00106,2026-04-19T20:32:00.550906+00:00,contoso-retail,prod,sql,Sev2,high,14,0.0338,51.95,15,58.12,0,0,0,1
INC-00107,2026-04-15T03:38:00.550915+00:00,northwind-campus,prod,sql,Sev2,medium,9,0.0488,42.48,13,62.24,0,0,0,0
INC-00108,2026-04-30T08:02:00.550923+00:00,northwind-campus,stage,storage,Sev3,medium,14,0.0598,53.54,4,0.0,0,0,0,1
INC-00109,2026-05-24T03:25:00.550932+00:00,northwind-campus,prod,identity,Sev3,medium,18,0.0511,70.24,3,0.0,0,0,10,0
INC-00110,2026-03-15T11:21:00.550940+00:00,fabrikam-clinic,prod,identity,Sev2,high,18,0.0979,45.12,54,0.0,0,0,10,1
INC-00111,2026-04-14T18:01:00.550949+00:00,northwind-campus,prod,appservice,Sev4,medium,12,0.0315,41.17,16,0.0,0,0,9,0
INC-00112,2026-03-17T01:38:00.550957+00:00,fabrikam-clinic,stage,sql,Sev2,high,23,0.0261,52.11,5,38.69,0,0,0,0
INC-00113,2026-05-16T20:43:00.550965+00:00,fabrikam-clinic,stage,vm,Sev3,high,0,0.0611,76.31,2,0.0,39,0,0,0
INC-00114,2026-03-19T10:36:00.550974+00:00,northwind-campus,prod,sql,Sev2,medium,1,0.0161,66.97,17,20.04,0,0,0,1
INC-00115,2026-04-11T23:55:00.550982+00:00,northwind-campus,prod,sql,Sev3,medium,9,0.0444,23.76,18,44.94,0,0,0,0
INC-00116,2026-05-05T12:29:00.550991+00:00,fabrikam-clinic,prod,appservice,Sev3,high,15,0.0296,55.0,7,0.0,0,0,11,1
INC-00117,2026-04-07T17:08:00.550999+00:00,fabrikam-clinic,stage,identity,Sev3,high,23,0.0501,59.06,62,0.0,0,0,4,0
INC-00118,2026-04-29T01:57:00.551007+00:00,contoso-retail,prod,storage,Sev3,high,19,0.0485,26.7,17,0.0,0,0,0,0
INC-00119,2026-04-19T14:41:00.551015+00:00,northwind-campus,prod,appservice,Sev2,medium,20,0.014,61.87,17,0.0,0,0,6,1
INC-00120,2026-04-23T01:46:00.551025+00:00,northwind-campus,stage,appservice,Sev2,medium,0,0.0487,69.59,8,0.0,0,1,0,0
INC-00121,2026-05-07T02:54:00.551034+00:00,fabrikam-clinic,prod,identity,Sev2,high,10,0.0571,60.31,19,0.0,0,0,2,1
INC-00122,2026-05-03T01:02:00.551042+00:00,contoso-retail,prod,appservice,Sev3,high,0,0.0577,51.02,17,0.0,0,0,11,0
INC-00123,2026-04-11T04:09:00.551051+00:00,northwind-campus,prod,appservice,Sev3,medium,2,0.0075,67.02,0,0.0,0,1,0,0
INC-00124,2026-05-15T18:20:00.551059+00:00,fabrikam-clinic,prod,identity,Sev3,high,7,0.0495,53.8,44,0.0,0,0,14,1
INC-00125,2026-03-26T21:17:00.551068+00:00,contoso-retail,prod,identity,Sev4,high,1,0.0392,59.43,46,0.0,0,0,0,1
INC-00126,2026-03-18T23:43:00.551076+00:00,contoso-retail,stage,identity,Sev2,high,14,0.0645,48.4,6,0.0,0,0,6,1
INC-00127,2026-05-03T14:32:00.551085+00:00,contoso-retail,prod,sql,Sev4,high,22,0.0558,79.58,9,26.47,0,0,0,1
INC-00128,2026-04-01T03:05:00.551093+00:00,northwind-campus,stage,sql,Sev2,medium,23,0.0978,45.52,12,40.86,0,0,0,0
INC-00129,2026-05-17T03:38:00.551102+00:00,northwind-campus,prod,sql,Sev4,medium,5,0.0079,50.89,3,78.83,0,0,0,0
INC-00130,2026-05-09T03:39:00.551111+00:00,northwind-campus,prod,vm,Sev3,medium,16,0.0029,84.59,17,0.0,8,0,0,0
INC-00131,2026-05-29T09:28:00.551119+00:00,fabrikam-clinic,dev,appservice,Sev3,high,15,0.1456,34.72,8,0.0,0,1,9,0
INC-00132,2026-05-07T14:04:00.551127+00:00,fabrikam-clinic,prod,appservice,Sev3,high,24,0.034,41.49,9,0.0,0,0,12,0
INC-00133,2026-03-19T13:08:00.551136+00:00,fabrikam-clinic,prod,identity,Sev4,high,14,0.056,20.34,22,0.0,0,0,14,1
INC-00134,2026-05-16T16:06:00.551144+00:00,northwind-campus,prod,appservice,Sev3,medium,16,0.0413,53.47,0,0.0,0,0,12,1
INC-00135,2026-03-20T15:42:00.551152+00:00,contoso-retail,prod,storage,Sev2,high,4,0.0038,33.09,9,0.0,0,0,0,0
INC-00136,2026-05-31T20:11:00.551160+00:00,contoso-retail,dev,vm,Sev3,high,11,0.0129,66.91,18,0.0,9,0,0,1
INC-00137,2026-04-08T20:12:00.551168+00:00,northwind-campus,prod,appservice,Sev2,medium,14,0.0288,77.03,15,0.0,0,0,6,1
INC-00138,2026-03-12T07:57:00.551176+00:00,contoso-retail,prod,vm,Sev2,high,2,0.0111,54.55,1,0.0,45,0,0,0
INC-00139,2026-05-24T15:19:00.551183+00:00,northwind-campus,dev,storage,Sev4,medium,23,0.0119,39.21,9,0.0,0,0,0,0
INC-00140,2026-05-13T02:05:00.551192+00:00,northwind-campus,stage,identity,Sev4,medium,3,0.1077,25.39,32,0.0,0,0,15,1
INC-00141,2026-03-30T11:29:00.551199+00:00,contoso-retail,prod,vm,Sev1,high,11,0.0322,58.97,4,0.0,14,0,0,1
INC-00142,2026-04-28T17:34:00.551207+00:00,contoso-retail,stage,vm,Sev3,high,10,0.1246,51.1,10,0.0,46,0,0,1
INC-00143,2026-03-05T00:05:00.551215+00:00,northwind-campus,stage,appservice,Sev3,medium,13,0.0642,47.4,16,0.0,0,0,7,0
INC-00144,2026-04-14T16:02:00.551223+00:00,fabrikam-clinic,prod,vm,Sev3,high,23,0.0664,41.67,2,0.0,50,0,0,1
INC-00145,2026-05-03T07:29:00.551231+00:00,contoso-retail,stage,vm,Sev2,high,3,0.1439,61.6,1,0.0,14,0,0,0
INC-00146,2026-04-17T11:33:00.551239+00:00,northwind-campus,dev,sql,Sev3,medium,16,0.0062,56.87,4,23.32,0,0,0,1
INC-00147,2026-03-13T15:30:00.551248+00:00,contoso-retail,prod,appservice,Sev4,high,14,0.0255,63.57,13,0.0,0,0,0,0
INC-00148,2026-03-05T12:26:00.551256+00:00,fabrikam-clinic,prod,sql,Sev4,high,11,0.0559,39.31,16,68.88,0,0,0,0
INC-00149,2026-04-13T07:43:00.551263+00:00,northwind-campus,prod,appservice,Sev2,medium,16,0.1003,68.94,6,0.0,0,0,0,1
INC-00150,2026-03-06T09:13:00.551272+00:00,fabrikam-clinic,prod,vm,Sev2,high,11,0.1137,56.94,7,0.0,36,0,0,1
INC-00151,2026-04-19T07:57:00.551280+00:00,contoso-retail,prod,appservice,Sev2,high,0,0.0278,29.67,17,0.0,0,0,4,0
INC-00152,2026-04-04T12:31:00.551288+00:00,contoso-retail,prod,sql,Sev2,high,7,0.007,36.3,6,66.36,0,0,0,1
INC-00153,2026-05-16T18:23:00.551296+00:00,contoso-retail,prod,storage,Sev1,high,23,0.0385,47.56,16,0.0,0,0,0,1
INC-00154,2026-05-18T02:32:00.551304+00:00,northwind-campus,prod,appservice,Sev3,medium,23,0.0299,44.35,15,0.0,0,0,5,0
INC-00155,2026-04-28T13:36:00.551312+00:00,contoso-retail,stage,sql,Sev3,high,0,0.0619,80.89,6,17.95,0,0,0,0
INC-00156,2026-05-03T02:12:00.551320+00:00,fabrikam-clinic,stage,appservice,Sev4,high,0,0.0801,53.94,1,0.0,0,0,1,1
INC-00157,2026-03-30T17:34:00.551328+00:00,contoso-retail,prod,sql,Sev3,high,17,0.0768,38.13,12,50.21,0,0,0,1
INC-00158,2026-03-11T01:26:00.551337+00:00,northwind-campus,prod,vm,Sev3,medium,13,0.0814,55.11,9,0.0,20,0,0,1
INC-00159,2026-05-07T15:48:00.551345+00:00,fabrikam-clinic,prod,identity,Sev4,high,2,0.0119,31.59,8,0.0,0,0,1,0
INC-00160,2026-05-21T22:44:00.551354+00:00,contoso-retail,stage,appservice,Sev2,high,8,0.025,33.38,14,0.0,0,1,7,1
INC-00161,2026-04-27T06:27:00.551362+00:00,fabrikam-clinic,prod,appservice,Sev3,high,18,0.0844,57.05,4,0.0,0,0,1,0
INC-00162,2026-03-20T05:31:00.551370+00:00,northwind-campus,stage,vm,Sev3,medium,3,0.0131,51.56,1,0.0,31,0,0,1
INC-00163,2026-05-04T01:51:00.551379+00:00,fabrikam-clinic,prod,vm,Sev4,high,15,0.1274,34.68,2,0.0,5,0,0,1
INC-00164,2026-05-12T06:59:00.551387+00:00,northwind-campus,prod,vm,Sev3,medium,14,0.0313,54.7,12,0.0,35,0,0,1
INC-00165,2026-05-01T03:12:00.551395+00:00,contoso-retail,prod,sql,Sev3,high,11,0.0564,61.85,11,53.14,0,0,0,0
INC-00166,2026-05-13T07:21:00.551403+00:00,northwind-campus,prod,appservice,Sev1,medium,21,0.0644,59.41,9,0.0,0,0,6,1
INC-00167,2026-05-29T22:08:00.551411+00:00,fabrikam-clinic,stage,appservice,Sev2,high,16,0.0393,42.3,15,0.0,0,0,10,1
INC-00168,2026-04-24T19:23:00.551419+00:00,fabrikam-clinic,prod,appservice,Sev3,high,22,0.0339,53.78,16,0.0,0,1,11,0
INC-00169,2026-05-30T04:41:00.551428+00:00,fabrikam-clinic,prod,storage,Sev4,high,10,0.0036,52.34,15,0.0,0,0,0,1
INC-00170,2026-03-11T15:08:00.551436+00:00,contoso-retail,prod,appservice,Sev4,high,12,0.0263,72.28,4,0.0,0,0,14,0
INC-00171,2026-03-15T18:59:00.551444+00:00,contoso-retail,prod,sql,Sev2,high,24,0.1466,59.41,10,30.31,0,0,0,1
INC-00172,2026-05-27T19:16:00.551453+00:00,contoso-retail,prod,vm,Sev3,high,17,0.0878,32.78,18,0.0,48,0,0,1
INC-00173,2026-05-17T16:26:00.551460+00:00,fabrikam-clinic,prod,appservice,Sev3,high,8,0.0387,23.68,8,0.0,0,0,13,0
INC-00174,2026-04-23T18:58:00.551469+00:00,northwind-campus,prod,sql,Sev3,medium,20,0.0506,75.74,16,68.02,0,0,0,0
INC-00175,2026-05-08T20:23:00.551476+00:00,contoso-retail,prod,appservice,Sev1,high,0,0.0217,67.99,5,0.0,0,0,1,0
INC-00176,2026-04-17T21:54:00.551484+00:00,contoso-retail,prod,vm,Sev2,high,1,0.0258,54.59,13,0.0,25,0,0,1
INC-00177,2026-04-27T20:04:00.551492+00:00,northwind-campus,prod,appservice,Sev2,medium,7,0.0264,43.81,1,0.0,0,1,0,0
INC-00178,2026-05-21T03:27:00.551500+00:00,fabrikam-clinic,dev,appservice,Sev2,high,13,0.0499,42.65,7,0.0,0,1,6,1
INC-00179,2026-04-06T00:27:00.551508+00:00,contoso-retail,prod,vm,Sev3,high,7,0.0471,67.58,10,0.0,3,0,0,1
INC-00180,2026-04-07T04:44:00.551516+00:00,contoso-retail,stage,appservice,Sev2,high,5,0.0805,47.22,10,0.0,0,0,6,1
INC-00181,2026-03-06T17:29:00.551524+00:00,fabrikam-clinic,dev,sql,Sev2,high,23,0.0811,35.78,14,27.93,0,0,0,0
INC-00182,2026-04-21T13:34:00.551532+00:00,contoso-retail,prod,vm,Sev1,high,19,0.1164,51.88,8,0.0,37,0,0,0
INC-00183,2026-05-27T20:25:00.551540+00:00,northwind-campus,prod,appservice,Sev2,medium,18,0.0335,69.33,17,0.0,0,0,0,0
INC-00184,2026-05-28T08:33:00.551548+00:00,fabrikam-clinic,prod,vm,Sev2,high,19,0.025,81.14,9,0.0,25,0,0,1
INC-00185,2026-03-23T09:07:00.551557+00:00,contoso-retail,prod,appservice,Sev3,high,13,0.0277,74.4,9,0.0,0,1,14,1
INC-00186,2026-04-04T10:12:00.551602+00:00,fabrikam-clinic,prod,identity,Sev2,high,19,0.0586,56.4,45,0.0,0,0,13,0
INC-00187,2026-05-09T22:41:00.551610+00:00,northwind-campus,prod,identity,Sev4,medium,22,0.0956,84.77,7,0.0,0,0,4,0
INC-00188,2026-03-19T18:18:00.551619+00:00,contoso-retail,prod,storage,Sev2,high,15,0.0099,26.26,7,0.0,0,0,0,1
INC-00189,2026-05-05T10:39:00.551627+00:00,contoso-retail,prod,appservice,Sev1,high,24,0.0275,51.79,14,0.0,0,1,4,1
